Name,#,HP Ratio,Attack Ratio,Defense Ratio,Min CP Cap,Max CP Cap
Dewgong,87,180,156,192,1811,2146
Grimer,88,160,124,110,1027,1284
Muk,89,210,180,188,2234,2603
Shellder,90,60,120,112,614,823
Cloyster,91,100,196,196,1714,2053
Gastly,92,60,136,82,596,804
Haunter,93,90,172,118,1107,1380
Gengar,94,120,204,156,1743,2078
Onix,95,70,90,186,641,857
Drowzee,96,120,104,140,842,1075
Hypno,97,170,162,196,1847,2184
Krabby,98,60,116,110,589,792
Kingler,99,110,178,168,1511,1823
Voltorb,100,80,102,124,635,840
Electrode,101,120,150,174,1354,1646
Exeggcute,102,120,110,132,865,1100
Exeggutor,103,190,232,164,2558,2955
Cubone,104,100,102,150,780,1007
Marowak,105,120,140,202,1361,1657
Hitmonlee,106,100,148,172,1212,1493
Hitmonchan,107,100,138,204,1231,1517
Lickitung,108,180,126,160,1336,1627
Koffing,109,80,136,142,905,1152
Weezing,110,130,190,198,1904,2250
Rhyhorn,111,160,110,116,936,1182
Rhydon,112,210,166,160,1900,2243
Chansey,113,500,40,60,433,675
Tangela,114,130,164,152,1440,1740
Kangaskhan,115,210,142,178,1715,2043
Horsea,116,60,122,100,590,795
Seadra,117,110,176,150,1412,1713
Goldeen,118,90,112,126,745,965
Seaking,119,160,172,160,1719,2044
Staryu,120,60,130,128,712,938
Starmie,121,120,194,192,1839,2182
Mr. Mime,122,80,154,196,1204,1494
Scyther,123,140,176,180,1745,2074
Jynx,124,130,172,134,1418,1717
Electabuzz,125,130,198,160,1784,2119
Magmar,126,130,214,158,1916,2265
Pinsir,127,130,184,186,1787,2122
Tauros,128,150,148,184,1536,1845
Magikarp,129,40,42,84,152,263
Gyarados,130,190,192,196,2314,2689
Lapras,131,260,186,190,2582,2981
Ditto,132,96,110,110,706,920
Eevee,133,110,114,128,845,1077
Vaporeon,134,260,186,168,2428,2816
Jolteon,135,130,192,174,1804,2140
Flareon,136,130,238,178,2261,2643
Porygon,137,130,156,158,1396,1692
Omanyte,138,70,132,160,873,1120
Omastar,139,140,180,202,1891,2234
Kabuto,140,60,148,142,853,1105
Kabutops,141,120,190,190,1792,2130
Aerodactyl,142,160,182,162,1830,2165
Snorlax,143,320,180,180,2698,3113
Articuno,144,180,198,242,2581,2978
Zapdos,145,180,232,194,2708,3114
Moltres,146,180,242,194,2824,3240
Dratini,147,82,128,110,759,983
Dragonair,148,122,170,152,1446,1748
Dragonite,149,182,250,212,3067,3500
Mewtwo,150,212,284,202,3671,4145
Mew,151,200,220,220,2882,3299
